Data,Ano,Mes,Dia,Movimentacao,ValorBRL,Modalidade,Categoria,Subcategoria,Recorrente,Descrição,ValorUSD,CotacaoNaData
2023-03-26,2023,03,26,DjapaMoemaRestaurant,202.84,Credito,Restaurante,Jantar,0,Rolê com Tatá e Marquito,,
2023-03-30,2023,03,30,PIXENVIADO-Cp:60701190-PLDEVICETECEMSISTDECOMPL,110.00,Pix,Transporte,Bilhete Unico,1,,,
2023-03-31,2023,03,31,Starbucks,50.00,Credito,Restaurante,Lazer,0,,,
2023-03-31,2023,03,31,MalumRestauranteLtda,82.00,Credito,Restaurante,Jantar,0,Açaí burger,,
2023-03-31,2023,03,31,digitalocean.Com,26.42,Credito,Serviços,Assinatura,1,,5.00,5.2836
2023-04-01,2023,04,01,PaoDeAcucar-1026,19.98,Credito,Compras,Mercado,0,,,
2023-04-02,2023,04,02,IofInternacional,1.42,Credito,Serviços,Taxa,1,,,
2023-04-02,2023,04,02,StarPlus,18.00,Credito,Serviços,Assinatura,1,,,
2023-04-03,2023,04,03,CarrefourExpXraRodr,12.48,Credito,Compras,Outros,0,,,
2023-04-04,2023,04,04,Pag*Moelapinheiros,61.82,Credito,Bares,Lazer,0,,,
2023-04-05,2023,04,05,Amazonprimebr,14.90,Credito,Serviços,Assinatura,1,,,
2023-04-06,2023,04,06,Pag*TonVanessaFran,40.00,Credito,Aparência,Cabelo,0,,,
2023-04-06,2023,04,06,DominioLanches,82.00,Credito,Bares,Lazer,0,Zóio,,
2023-04-07,2023,04,07,Uber*Uber*Trip,31.97,Credito,Transporte,Carro,0,,,
2023-04-08,2023,04,08,Ifd*SuperPizzaPan-,103.41,Credito,Restaurante,iFood,0,Pizza com a giu,,
2023-04-09,2023,04,09,CasaSantaGemmaSuper,64.27,Credito,Compras,Mercado,0,,,
2023-04-10,2023,04,10,DI*GoogleYoutubeprem,12.50,Credito,Serviços,Assinatura,1,,,
2023-04-10,2023,04,10,PIXENVIADO-Cp:60701190-CIADEGASDESAOPAULOCOMGAS,14.02,Pix,Contas,Gás,1,,,
2023-04-14,2023,04,14,Uber*Uber*Trip,14.98,Credito,Transporte,Carro,0,,,
2023-04-14,2023,04,14,apple.Com/Bill,10.90,Credito,Serviços,Assinatura,1,iCloud armazenamento,,
2023-04-15,2023,04,15,Totalpass,59.90,Credito,Saúde,Academia,1,Totalpass Smartfit,,
2023-04-15,2023,04,15,CasaSantaGemmaSuper,81.77,Credito,Compras,Mercado,0,,,
2023-04-16,2023,04,16,PNapoleanoDBarros,29.90,Credito,Restaurante,Date,0,Café com a Giu,,
2023-04-16,2023,04,16,CasaSantaGemmaSuper,8.89,Credito,Compras,Mercado,0,,,
2023-04-17,2023,04,17,Dm*Spotify,9.90,Credito,Serviços,Assinatura,0,Música,,
2023-04-19,2023,04,19,PaoDeAcucar-1026,6.26,Credito,Compras,Mercado,0,,,
2023-04-20,2023,04,20,PIXENVIADO-Cp:60701190-PLDEVICETECEMSISTDECOMPL,88.00,Pix,Transporte,Bilhete Unico,1,,,
2023-04-21,2023,04,21,Uber*Uber*Trip,34.91,Credito,Transporte,Carro,0,,,
2023-04-22,2023,04,22,PaoDeAcucar-1026,101.93,Credito,Compras,Mercado,0,,,
2023-04-22,2023,04,22,ContaVivo,125.37,Credito,Serviços,Assinatura,0,Internet,,
2023-04-26,2023,04,26,PaoDeAcucar-1026,23.87,Credito,Compras,Mercado,0,,,
2023-04-28,2023,04,28,Uber*Uber*Trip,16.99,Credito,Transporte,Carro,0,,,
2023-04-28,2023,04,28,Pag*Bettabarshortfood,66.00,Credito,Bares,Lazer,0,,,
2023-04-29,2023,04,29,PAG*PatioPaulistaSth,150.04,Credito,Restaurante,Date,0,Madero Burger,,
2023-04-29,2023,04,29,ZaraBrasilPaulista,279.50,Credito,Aparência,Vestuário,0,Calça cinza,,
2023-04-30,2023,04,30,NaturaShopIbira,29.90,Credito,Compras,Aparência,0,Sabonete Natura,,
2023-05-01,2023,05,01,digitalocean.Com,26.00,Credito,Serviços,Assinatura,1,Servidor Meu site,,
2023-05-02,2023,05,02,Ebn*Sonyplaystatn,24.99,Credito,Entretenimento,Lazer,0,Fortnite,,
2023-05-02,2023,05,02,StarPlus,45.90,Credito,Serviços,Assinatura,1,,,
2023-05-02,2023,05,02,IofInternacional,1.40,Credito,Serviços,Taxa,1,Iof Digital Ocean,,
2023-05-02,2023,05,02,SukiyaParaiso,38.90,Credito,Restaurante,Jantar,0,,,
2023-05-03,2023,05,03,DEB FUNDO  Inter Conservador Plus FIRF LP,11.28,Aplicação,Investimentos,Reserva,0,,,
2023-05-03,2023,05,03,ManeQueMeCachacaria,54.62,Credito,Bares,Lazer,0,Rolê Enpassant,,
2023-05-03,2023,05,03,DuoGourmet,350.00,Credito,Serviços,Assinatura,2,(Anual),,
2023-05-05,2023,05,05,PIXENVIADO-Cp:60701190-CIADEGASDESAOPAULOCOMGAS,14.06,Pix,Contas,Gás,1,,,
2023-05-05,2023,05,05,Amazonprimebr,14.90,Credito,Serviços,Assinatura,1,,,
2023-05-06,2023,05,06,Uber*Uber*Trip,11.96,Credito,Transporte,Carro,0,,,
2023-05-06,2023,05,06,LittleBeer,194.00,Credito,Bares,Lazer,0,,,
2023-05-06,2023,05,06,PaoDeAcucar-1026,60.00,Credito,Compras,Mercado,0,,,
2023-05-07,2023,05,07,Uber*Uber*Trip,14.91,Credito,Transporte,Carro,0,,,
2023-05-11,2023,05,11,PideviceTecEmSistDeCompL,110.00,Pix,Transporte,Bilhete Unico,1,,,
2023-05-11,2023,05,11,DL*GOOGLEYouTubePrem,20.90,Credito,Serviços,Assinatura,1,,,
2023-05-12,2023,05,12,ingresso.com,76.78,Credito,Entretenimento,Lazer,0,Cinema com a Giu,,
